Study_Hours,Attendance_Percentage,Previous_Exam_Score,Assignment_Completion,Final_Exam_Score
9.5,54.0,84,82.0,73.3
8.7,51.0,72,95.0,74.0
5.3,95.0,47,97.0,58.2
2.3,82.0,93,75.0,67.0
5.5,71.0,97,65.0,72.4
3.9,69.0,65,72.0,52.5
4.2,51.0,70,54.0,48.4
1.3,74.0,64,66.0,44.7
9.1,71.0,92,74.0,75.7
7.0,62.0,52,59.0,57.9
4.6,99.0,53,81.0,63.3
5.8,96.0,50,51.0,55.3
7.8,76.0,87,59.0,72.5
9.4,67.0,54,89.0,64.8
9.9,89.0,69,78.0,77.9
7.0,72.0,45,84.0,61.2
5.0,91.0,82,51.0,68.7
2.3,52.0,87,88.0,61.5
2.6,92.0,60,88.0,52.4
4.7,89.0,97,84.0,71.5
4.3,52.0,83,86.0,58.9
6.1,83.0,39,73.0,50.5
8.8,65.0,85,87.0,71.9
9.6,62.0,72,68.0,70.4
4.9,77.0,72,79.0,66.5
4.9,91.0,92,45.0,69.9
9.4,94.0,52,65.0,68.4
6.1,95.0,60,96.0,66.2
9.1,100.0,55,85.0,75.3
6.5,55.0,84,86.0,70.7
4.1,74.0,40,89.0,46.2
8.7,60.0,53,51.0,62.5
7.4,78.0,71,80.0,66.0
0.5,98.0,67,40.0,46.9
0.6,81.0,65,53.0,46.3
1.3,88.0,35,55.0,42.2
8.3,63.0,41,51.0,51.5
8.6,92.0,73,61.0,77.7
2.2,93.0,71,79.0,58.8
5.8,79.0,81,99.0,66.0
9.0,54.0,89,93.0,77.7
7.1,67.0,77,73.0,66.8
1.1,86.0,46,70.0,45.3
7.2,77.0,75,56.0,67.2
1.7,86.0,98,73.0,65.6
8.9,64.0,72,52.0,62.9
1.6,63.0,88,66.0,50.0
2.5,90.0,60,84.0,52.1
5.3,70.0,35,47.0,47.2
6.4,51.0,57,52.0,51.6
9.2,52.0,52,70.0,58.3
9.0,79.0,87,99.0,84.2
7.4,70.0,37,53.0,53.4
8.1,54.0,54,57.0,61.5
5.6,60.0,84,51.0,63.0
7.2,70.0,39,57.0,52.4
4.8,69.0,62,73.0,54.3
7.9,55.0,91,72.0,67.8
2.3,80.0,74,89.0,55.7
9.8,83.0,51,53.0,68.8
5.5,50.0,74,99.0,57.6
3.7,52.0,48,73.0,47.9
7.7,90.0,61,60.0,63.3
7.8,92.0,50,57.0,59.2
6.4,82.0,48,53.0,56.3
9.5,68.0,66,50.0,63.7
4.7,58.0,38,70.0,49.3
1.3,75.0,57,85.0,48.3
7.1,89.0,80,59.0,69.3
8.2,55.0,94,76.0,71.2
4.9,79.0,74,83.0,65.2
9.5,59.0,68,98.0,71.4
3.6,70.0,93,71.0,59.1
4.9,60.0,71,89.0,58.5
4.4,95.0,48,60.0,54.0
4.9,87.0,87,55.0,67.6
4.1,71.0,61,92.0,58.6
5.9,71.0,65,51.0,59.8
6.0,81.0,49,77.0,58.7
4.7,69.0,86,44.0,61.9
8.3,70.0,98,81.0,81.5
8.9,98.0,35,88.0,61.8
4.2,86.0,92,52.0,62.7
8.0,93.0,73,98.0,80.9
3.8,55.0,36,79.0,47.5
3.3,73.0,41,40.0,43.6
8.7,51.0,65,67.0,66.4
4.1,74.0,90,74.0,62.3
5.8,73.0,88,49.0,63.9
0.6,91.0,37,49.0,39.1
9.9,55.0,52,81.0,68.6
7.1,77.0,58,69.0,62.4
3.9,61.0,89,78.0,57.5
7.3,67.0,87,99.0,75.3
5.9,95.0,82,47.0,68.8
7.4,83.0,70,69.0,68.6
2.8,90.0,44,83.0,50.7
1.0,71.0,36,70.0,36.1
3.6,72.0,72,58.0,51.9
3.4,100.0,68,43.0,57.8
6.7,68.0,38,58.0,51.1
7.9,66.0,51,79.0,59.1
1.6,61.0,54,82.0,43.7
7.2,81.0,58,91.0,66.2
9.7,88.0,54,93.0,73.0
2.8,78.0,56,53.0,48.6
3.0,57.0,41,50.0,38.7
9.5,84.0,64,64.0,73.6
5.5,77.0,36,58.0,53.1
9.6,93.0,40,46.0,67.3
4.6,91.0,69,61.0,58.4
6.0,79.0,65,86.0,65.8
6.9,61.0,75,,60.7
4.4,83.0,48,83.0,53.5
2.3,51.0,46,43.0,41.3
9.5,90.0,50,85.0,75.1
4.1,98.0,58,97.0,57.2
6.8,54.0,93,99.0,78.1
6.8,99.0,76,56.0,66.8
4.1,71.0,42,56.0,50.2
5.2,62.0,85,51.0,63.0
4.6,89.0,48,98.0,56.9
1.2,96.0,67,89.0,54.2
6.6,52.0,84,57.0,60.6
0.5,95.0,97,70.0,60.2
8.0,84.0,63,40.0,63.2
1.7,84.0,80,61.0,57.0
9.6,55.0,81,74.0,77.5
7.7,68.0,60,51.0,61.5
3.3,74.0,48,80.0,50.8
4.7,62.0,52,42.0,44.5
5.1,54.0,74,71.0,58.8
10.0,52.0,78,43.0,68.2
2.5,91.0,93,100.0,69.7
6.0,54.0,39,87.0,47.0
9.2,52.0,66,84.0,69.8
9.1,100.0,47,69.0,69.3
8.3,57.0,98,78.0,80.2
4.5,97.0,86,60.0,63.6
3.6,100.0,62,88.0,55.8
3.1,98.0,88,50.0,65.1
9.3,52.0,52,46.0,62.0
2.0,81.0,45,40.0,35.8
6.1,68.0,88,84.0,73.3
2.5,90.0,69,73.0,55.6
7.1,88.0,58,85.0,66.2
7.9,72.0,88,40.0,71.3
9.8,89.0,81,95.0,85.8
7.8,92.0,61,57.0,62.1
8.5,80.0,98,51.0,75.2
4.0,63.0,90,56.0,59.1
0.9,97.0,41,99.0,46.6
5.4,54.0,65,86.0,57.4
7.6,70.0,64,89.0,63.1
4.4,62.0,83,97.0,61.4
9.0,59.0,62,99.0,70.5
4.8,62.0,80,57.0,56.5
1.1,58.0,49,94.0,41.6
2.6,68.0,55,90.0,52.5
6.0,85.0,64,45.0,59.0
2.6,80.0,94,57.0,56.6
2.9,77.0,63,97.0,59.9
9.0,76.0,40,42.0,62.8
4.5,75.0,96,91.0,73.6
2.8,85.0,36,84.0,48.1
3.3,91.0,46,41.0,46.4
8.7,97.0,38,69.0,63.0
2.3,73.0,94,85.0,64.0
9.0,71.0,39,58.0,57.8
5.7,100.0,61,90.0,68.0
9.4,82.0,81,96.0,76.5
0.9,73.0,57,81.0,45.9
2.4,71.0,65,74.0,47.3
6.0,94.0,61,88.0,68.1
3.0,93.0,89,57.0,58.7
5.3,57.0,95,85.0,68.9
4.8,73.0,43,52.0,51.8
9.0,68.0,44,46.0,55.0
1.9,63.0,37,58.0,35.7
5.0,76.0,91,87.0,71.4
8.8,64.0,77,66.0,71.8
5.1,92.0,91,69.0,69.0
2.1,66.0,64,70.0,47.3
1.9,68.0,93,50.0,57.3
2.2,61.0,54,50.0,39.4
1.7,66.0,82,51.0,48.5
9.8,59.0,82,68.0,75.3
9.2,75.0,98,89.0,80.7
0.5,97.0,99,61.0,62.3
9.7,98.0,53,91.0,74.9
7.0,96.0,96,97.0,77.5
0.7,89.0,63,68.0,46.8
2.4,83.0,63,90.0,58.9
5.6,78.0,46,72.0,53.4
5.4,53.0,81,65.0,57.3
4.0,68.0,79,62.0,56.6
2.5,78.0,88,91.0,62.2
9.0,96.0,88,48.0,82.4
3.4,83.0,77,44.0,61.0
0.6,90.0,69,66.0,46.7
9.2,62.0,58,93.0,67.2
8.3,87.0,73,71.0,73.6
0.5,66.0,73,80.0,51.8
9.0,76.0,57,71.0,71.4
7.8,81.0,43,78.0,63.3
8.7,90.0,95,84.0,87.1
0.7,66.0,55,77.0,37.9
1.8,60.0,41,57.0,35.6
1.0,68.0,44,72.0,36.0
6.2,60.0,76,95.0,64.3
3.1,94.0,81,46.0,59.8
1.8,68.0,82,89.0,56.5
1.5,59.0,99,54.0,59.3
7.1,83.0,49,66.0,59.5
9.3,80.0,79,59.0,77.1
9.9,83.0,78,51.0,78.2
2.6,94.0,53,84.0,50.1
1.2,94.0,49,44.0,37.9
2.4,52.0,100,77.0,55.9
1.1,92.0,36,88.0,38.8
6.1,62.0,58,82.0,56.9
9.4,87.0,79,62.0,73.7
2.8,86.0,43,46.0,47.1
7.3,68.0,56,,66.5
9.3,82.0,95,63.0,83.6
1.5,72.0,83,67.0,51.4
9.9,57.0,94,47.0,76.7
3.2,96.0,40,45.0,43.9
6.2,69.0,91,54.0,68.6
2.3,54.0,95,100.0,63.2
5.2,56.0,85,68.0,62.8
4.3,94.0,48,87.0,60.5
9.8,71.0,60,78.0,74.0
4.5,81.0,70,88.0,64.4
8.0,91.0,86,62.0,76.1
5.1,67.0,53,89.0,55.1
2.7,58.0,38,46.0,39.2
0.8,61.0,83,78.0,53.4
1.4,54.0,98,90.0,58.4
5.3,84.0,78,91.0,71.8
0.8,77.0,50,64.0,40.8
0.8,61.0,73,96.0,52.4
7.3,81.0,49,76.0,63.0
5.9,80.0,55,72.0,54.4
4.1,93.0,80,89.0,71.7
0.9,73.0,79,91.0,56.7
3.7,56.0,89,62.0,63.9
2.8,65.0,74,77.0,50.5
1.6,60.0,37,74.0,35.4
5.9,76.0,69,41.0,61.2
4.1,74.0,76,76.0,56.5
2.5,81.0,99,91.0,69.8
4.0,77.0,60,71.0,55.9
8.6,63.0,71,56.0,62.5
2.6,97.0,46,85.0,54.5
1.1,83.0,95,67.0,56.4
3.4,69.0,90,82.0,63.7
6.4,79.0,58,96.0,59.1
6.0,63.0,94,57.0,72.3
7.8,77.0,42,73.0,56.2
7.6,98.0,73,94.0,75.1
1.1,63.0,87,57.0,54.9
6.2,75.0,65,47.0,55.7
3.5,81.0,90,67.0,65.4
1.8,66.0,70,82.0,51.8
7.4,100.0,37,43.0,60.4
8.7,76.0,81,82.0,77.8
7.4,58.0,65,47.0,60.3
6.8,87.0,67,71.0,70.5
8.2,71.0,84,91.0,78.5
1.9,61.0,62,57.0,44.2
5.2,73.0,49,60.0,52.5
3.1,100.0,53,63.0,52.5
6.6,88.0,39,93.0,61.5
9.2,92.0,65,56.0,72.3
3.9,93.0,50,74.0,57.7
9.1,75.0,67,59.0,65.4
2.5,60.0,91,80.0,57.4
8.0,67.0,45,92.0,64.0
9.3,71.0,89,96.0,85.7
3.0,54.0,80,66.0,55.1
4.8,51.0,41,81.0,48.1
1.8,75.0,60,80.0,47.2
2.9,95.0,51,94.0,55.3
4.8,97.0,52,56.0,52.6
3.2,55.0,88,63.0,54.0
8.9,64.0,37,100.0,56.6
2.7,55.0,94,52.0,54.2
6.4,88.0,68,49.0,59.3
1.6,95.0,90,89.0,68.0
1.6,95.0,61,52.0,53.6
7.6,74.0,51,67.0,64.1
3.2,93.0,59,66.0,51.1
9.8,65.0,92,98.0,80.6
1.3,80.0,52,95.0,45.9
7.3,95.0,89,87.0,80.1
1.0,65.0,95,98.0,58.1
8.1,95.0,40,40.0,56.1
4.2,73.0,51,97.0,55.0
5.3,71.0,94,48.0,62.2
3.0,70.0,40,48.0,40.8
3.9,77.0,71,97.0,65.0
3.0,70.0,90,97.0,60.8
9.5,85.0,91,43.0,75.8
5.0,60.0,94,67.0,61.9
4.7,95.0,97,69.0,72.4
1.7,55.0,61,95.0,45.3
8.3,86.0,62,,74.6
2.2,54.0,66,89.0,49.6
3.2,93.0,50,65.0,49.7
3.6,51.0,45,69.0,46.6
9.6,88.0,35,61.0,67.0
3.6,96.0,51,53.0,55.2
8.1,97.0,44,75.0,69.1
2.2,99.0,86,45.0,54.7
4.3,91.0,54,47.0,50.9
9.3,93.0,51,62.0,69.7
5.2,74.0,95,57.0,68.6
8.2,89.0,58,67.0,68.6
9.7,93.0,63,81.0,77.5
6.5,83.0,45,58.0,55.5
3.4,58.0,73,93.0,54.2
5.7,52.0,100,46.0,65.9
7.3,66.0,80,56.0,67.9
7.5,79.0,57,90.0,62.8
8.8,69.0,75,77.0,74.8
8.2,71.0,58,53.0,59.3
8.8,56.0,90,74.0,70.3
6.7,79.0,86,95.0,76.1
3.4,89.0,81,84.0,65.7
3.4,58.0,52,40.0,39.9
2.3,51.0,61,70.0,46.9
6.4,100.0,59,45.0,60.0
0.7,60.0,54,87.0,44.1
8.7,87.0,66,52.0,67.3
3.7,56.0,90,66.0,63.3
5.8,68.0,39,71.0,49.6
9.4,81.0,64,85.0,69.1
5.8,67.0,88,96.0,70.4
3.8,94.0,90,41.0,60.6
4.7,82.0,63,77.0,63.3
8.5,92.0,94,48.0,82.9
4.5,93.0,81,90.0,68.2
2.5,94.0,46,82.0,49.7
5.2,100.0,88,100.0,80.3
0.9,51.0,80,96.0,48.8
8.7,82.0,39,91.0,59.3
1.6,64.0,97,56.0,61.6
7.8,85.0,69,97.0,69.4
6.9,95.0,41,99.0,67.1
7.7,56.0,48,92.0,60.1
1.6,63.0,81,50.0,52.5
5.2,56.0,54,81.0,51.9
2.4,76.0,35,55.0,42.6
2.1,67.0,82,85.0,59.4
1.9,98.0,88,90.0,61.8
4.4,,81,100.0,62.2
8.2,54.0,45,61.0,53.9
1.1,98.0,39,82.0,48.4
9.8,95.0,72,66.0,76.7
3.4,97.0,75,98.0,63.4
6.3,59.0,86,68.0,68.0
6.4,78.0,79,96.0,74.2
8.9,55.0,39,74.0,55.7
1.7,84.0,71,53.0,47.0
7.7,60.0,37,41.0,54.1
8.4,69.0,89,72.0,71.8
6.5,72.0,50,43.0,56.4
5.9,50.0,93,61.0,70.2
5.9,90.0,64,62.0,60.6
5.9,58.0,83,73.0,67.1
2.3,99.0,81,69.0,56.9
1.3,53.0,89,96.0,52.2
6.9,75.0,85,95.0,71.6
4.7,81.0,88,92.0,66.2
4.8,95.0,100,95.0,77.2
0.8,60.0,82,98.0,58.0
1.6,86.0,72,42.0,50.4
4.1,68.0,97,41.0,65.5
1.0,,71,53.0,43.3
5.7,54.0,40,66.0,47.4
3.7,74.0,95,93.0,70.3
5.3,79.0,92,82.0,70.6
8.1,92.0,87,64.0,74.7
9.6,78.0,70,81.0,71.0
6.5,99.0,74,75.0,72.4
9.6,84.0,41,76.0,65.7
0.7,92.0,58,41.0,41.5
8.5,87.0,91,45.0,79.8
0.9,51.0,78,67.0,43.8
4.1,55.0,49,46.0,44.5
7.8,59.0,74,100.0,69.4
3.6,51.0,42,59.0,39.9
3.6,74.0,50,43.0,43.1
5.2,98.0,99,64.0,79.0
5.8,54.0,96,41.0,63.6
3.1,87.0,47,55.0,50.0
5.9,78.0,45,94.0,58.9
4.0,60.0,66,74.0,58.5
0.9,79.0,72,,56.4
5.1,88.0,67,93.0,66.5
2.5,82.0,71,42.0,48.3
1.4,94.0,50,93.0,45.9
4.6,89.0,99,91.0,72.7
3.0,98.0,92,57.0,62.5
4.9,88.0,77,41.0,65.6
6.3,50.0,36,83.0,45.9
5.1,75.0,45,90.0,58.1
9.0,92.0,91,83.0,79.8
6.2,,57,93.0,64.5
4.9,62.0,91,40.0,58.7
9.3,72.0,59,45.0,68.2
2.6,81.0,81,42.0,53.1
2.5,62.0,85,47.0,57.2
5.7,92.0,57,44.0,58.6
9.4,64.0,70,52.0,72.1
6.9,89.0,67,83.0,69.4
6.6,91.0,41,94.0,64.9
3.1,93.0,94,71.0,65.5
2.6,67.0,88,,58.5
1.3,86.0,38,87.0,40.1
9.2,62.0,56,61.0,61.9
5.1,51.0,77,93.0,59.1
3.7,53.0,77,73.0,58.6
6.4,98.0,47,80.0,61.1
9.2,74.0,75,96.0,80.3
9.2,78.0,42,59.0,62.7
1.0,53.0,72,94.0,47.6
2.7,88.0,36,69.0,43.1
6.4,71.0,38,69.0,52.5
0.6,95.0,43,77.0,46.0
6.6,66.0,80,66.0,66.1
1.8,52.0,42,48.0,33.0
7.7,69.0,53,49.0,58.1
9.7,83.0,53,43.0,63.2
1.0,72.0,60,52.0,44.4
2.3,80.0,94,78.0,65.0
3.7,69.0,88,61.0,57.5
0.9,64.0,35,80.0,33.1
2.8,97.0,77,91.0,65.6
9.9,73.0,36,44.0,57.3
4.7,90.0,81,42.0,67.5
2.6,66.0,57,61.0,49.9
2.2,66.0,47,41.0,42.7
8.9,71.0,61,59.0,65.7
2.1,83.0,90,96.0,65.9
1.7,62.0,59,74.0,44.2
9.8,65.0,40,88.0,64.9
8.0,70.0,66,43.0,64.6
5.3,87.0,97,53.0,73.1
6.3,60.0,100,64.0,73.6
5.2,79.0,57,60.0,58.1
9.6,80.0,69,77.0,73.7
0.8,64.0,60,68.0,46.6
8.9,86.0,55,99.0,75.0
7.6,68.0,91,73.0,72.6
6.4,77.0,92,69.0,71.6
3.1,51.0,57,68.0,43.3
1.3,82.0,100,74.0,63.7
1.4,54.0,81,42.0,47.5
2.9,97.0,70,52.0,58.4
7.6,97.0,68,40.0,70.0
10.0,75.0,36,70.0,64.0
8.7,64.0,64,86.0,71.1
8.0,98.0,94,86.0,86.4
8.5,77.0,88,53.0,74.2
1.8,58.0,74,100.0,55.8
3.9,64.0,88,67.0,63.1
5.6,70.0,37,76.0,53.2
9.6,71.0,85,64.0,74.1
2.3,56.0,77,76.0,57.2
2.1,93.0,57,42.0,50.9
2.4,74.0,71,53.0,48.6
1.0,83.0,36,50.0,34.6
9.9,58.0,88,70.0,79.8
2.5,63.0,74,67.0,55.5
6.0,69.0,60,72.0,61.0
9.9,78.0,43,92.0,66.8
9.1,81.0,93,69.0,81.7
8.9,79.0,79,84.0,80.3
8.3,61.0,88,55.0,68.4
4.2,92.0,58,84.0,59.4
2.8,60.0,70,96.0,55.9
7.1,96.0,62,98.0,70.6
10.0,54.0,48,72.0,65.8
2.9,82.0,40,69.0,40.4
4.9,71.0,86,94.0,64.8
7.2,58.0,76,82.0,69.5
5.7,65.0,91,48.0,65.0
8.5,88.0,47,51.0,60.2
1.2,98.0,36,83.0,41.3
7.3,93.0,62,68.0,69.0
6.6,95.0,48,64.0,62.0
1.0,74.0,60,99.0,46.5
0.7,51.0,36,61.0,34.3
9.6,56.0,56,86.0,63.6
3.6,85.0,59,79.0,52.6
1.6,63.0,48,62.0,38.3
0.6,63.0,93,54.0,47.7
4.0,54.0,62,66.0,48.6
1.5,84.0,56,56.0,50.2
7.1,93.0,52,61.0,58.9
9.8,92.0,96,44.0,81.2
4.1,90.0,64,72.0,59.6
6.4,57.0,74,55.0,63.1
1.1,73.0,98,58.0,54.5
2.8,96.0,91,87.0,71.2
8.0,52.0,88,81.0,75.4
7.5,71.0,66,53.0,63.6
2.9,93.0,63,78.0,60.0
6.5,54.0,97,44.0,71.7
9.4,58.0,46,51.0,59.9
2.7,55.0,89,86.0,58.6
4.5,88.0,66,59.0,56.5
3.1,100.0,96,45.0,70.2
5.0,77.0,99,79.0,74.3
8.0,51.0,83,67.0,72.2
6.2,59.0,57,56.0,53.5
5.8,80.0,44,61.0,49.7
2.3,50.0,99,86.0,62.7
9.4,97.0,82,64.0,80.1
4.4,52.0,50,64.0,51.2
9.6,99.0,79,72.0,83.1
1.0,74.0,89,87.0,55.2
3.9,95.0,38,84.0,53.1
9.5,59.0,67,55.0,68.3
0.6,99.0,46,81.0,47.4
9.8,55.0,59,96.0,68.7
3.4,84.0,83,77.0,61.0
7.4,55.0,48,80.0,57.7
3.1,63.0,85,84.0,57.9
0.5,54.0,88,73.0,49.8
2.2,61.0,52,52.0,41.4
5.9,63.0,58,52.0,50.0
3.0,76.0,91,80.0,67.7
1.3,55.0,83,47.0,46.0
5.0,,47,40.0,47.6
6.0,52.0,47,,49.2
9.9,98.0,69,99.0,81.2
3.7,93.0,78,60.0,64.8
4.1,53.0,80,95.0,58.7
7.1,96.0,52,41.0,61.3
7.1,65.0,82,68.0,69.6
4.4,62.0,35,80.0,49.9
3.9,52.0,76,83.0,56.3
6.3,55.0,79,67.0,67.6
6.8,94.0,47,86.0,61.6
8.8,86.0,99,42.0,76.1
6.9,85.0,94,50.0,77.5
5.6,65.0,62,50.0,57.6
4.6,95.0,38,50.0,53.6
3.2,96.0,67,82.0,59.3
1.8,84.0,97,45.0,62.5
6.0,88.0,43,81.0,55.8
7.4,91.0,90,91.0,76.9
1.6,71.0,59,87.0,52.8
3.5,74.0,35,59.0,38.1
9.8,70.0,81,91.0,81.1
6.2,64.0,48,65.0,48.6
8.3,68.0,63,71.0,67.8
7.6,94.0,39,78.0,59.4
3.1,95.0,96,80.0,72.3
4.1,71.0,54,92.0,56.4
2.6,97.0,41,99.0,54.6
4.2,92.0,55,41.0,53.0
9.9,98.0,85,65.0,78.6
9.3,94.0,85,46.0,74.5
8.1,95.0,73,69.0,75.2
5.1,59.0,61,53.0,55.7
3.9,86.0,48,83.0,56.0
9.8,93.0,56,99.0,71.2
9.5,57.0,100,81.0,80.0
7.4,65.0,39,47.0,49.1
9.6,91.0,83,89.0,84.9
7.9,91.0,83,57.0,75.7
1.6,57.0,97,81.0,60.1
5.9,86.0,96,57.0,74.4
4.1,91.0,90,59.0,67.2
9.1,100.0,58,65.0,74.7
5.6,83.0,97,44.0,70.0
8.0,57.0,61,82.0,67.8
2.2,85.0,92,91.0,62.7
6.7,55.0,67,94.0,65.9
3.3,84.0,56,67.0,56.8
0.9,83.0,72,82.0,52.8
3.5,72.0,100,53.0,66.0
0.8,59.0,73,94.0,53.0
2.6,72.0,70,48.0,52.8
3.0,91.0,55,65.0,51.4
9.4,59.0,61,44.0,64.9
6.6,95.0,82,76.0,75.0
4.5,59.0,75,90.0,59.6
1.2,57.0,49,83.0,41.2
3.9,,69,49.0,57.4
4.1,64.0,83,100.0,60.1
7.4,69.0,97,46.0,72.9
5.7,88.0,47,97.0,55.4
2.2,97.0,86,70.0,63.0
7.3,92.0,51,49.0,59.5
7.4,73.0,66,83.0,68.0
9.9,79.0,99,58.0,81.3
8.9,64.0,74,80.0,75.5
3.5,55.0,45,44.0,43.0
1.0,97.0,71,75.0,58.4
9.5,93.0,100,99.0,92.5
10.0,84.0,50,65.0,63.6
0.6,77.0,79,55.0,54.7
10.0,83.0,40,78.0,65.8
7.8,64.0,57,44.0,57.3
1.0,81.0,83,50.0,51.2
2.9,84.0,50,58.0,45.7
7.5,86.0,85,53.0,76.8
5.4,52.0,94,97.0,70.2
6.3,71.0,73,62.0,59.5
4.3,50.0,47,67.0,45.5
2.0,57.0,97,40.0,51.2
4.3,69.0,81,67.0,64.8
9.9,,91,50.0,78.5
8.9,95.0,60,47.0,65.6
7.6,52.0,55,82.0,56.7
3.0,76.0,97,75.0,65.0
7.6,99.0,86,72.0,80.1
1.7,56.0,37,48.0,30.1
2.7,93.0,78,67.0,64.4
3.2,81.0,45,88.0,49.1
2.3,67.0,49,95.0,44.7
4.6,80.0,48,84.0,56.5
8.6,90.0,54,54.0,61.9
2.3,59.0,89,41.0,54.3
4.4,69.0,64,54.0,52.0
6.6,69.0,49,57.0,53.5
2.8,53.0,58,42.0,37.7
3.2,67.0,47,67.0,42.4
3.4,56.0,36,83.0,42.7
7.5,73.0,82,55.0,70.9
8.9,58.0,50,42.0,58.8
2.3,95.0,92,99.0,63.6
3.4,80.0,60,74.0,56.0
5.7,66.0,79,97.0,65.8
4.6,80.0,88,73.0,71.2
6.2,94.0,51,58.0,54.5
7.1,97.0,85,71.0,77.5
2.1,98.0,100,64.0,66.8
2.5,50.0,55,76.0,41.5
8.0,79.0,99,85.0,83.7
3.3,67.0,50,50.0,42.0
6.6,67.0,52,57.0,59.3
9.9,63.0,49,40.0,62.5
3.6,95.0,68,86.0,57.6
9.9,90.0,36,92.0,66.1
2.9,51.0,48,86.0,46.9
8.8,90.0,61,92.0,72.7
6.5,98.0,85,49.0,70.9
1.9,80.0,46,71.0,41.2
2.3,81.0,58,81.0,48.9
8.3,93.0,59,44.0,62.3
6.6,75.0,47,86.0,59.0
6.2,74.0,84,41.0,61.1
9.4,58.0,66,89.0,66.4
0.6,50.0,48,74.0,38.7
2.4,80.0,91,92.0,60.6
1.0,94.0,69,80.0,53.9
5.7,56.0,100,96.0,75.9
0.7,77.0,84,49.0,49.6
7.0,93.0,49,71.0,58.7
9.6,72.0,44,79.0,63.1
1.3,52.0,54,51.0,37.3
4.5,92.0,73,79.0,67.4
9.2,92.0,82,99.0,80.6
8.0,59.0,53,60.0,55.2
9.8,54.0,49,76.0,62.7
3.6,58.0,58,89.0,50.4
7.1,76.0,77,48.0,69.3
4.5,81.0,98,74.0,70.7
7.3,83.0,63,84.0,63.4
8.6,73.0,95,48.0,80.4
8.6,99.0,52,58.0,66.7
9.3,76.0,66,53.0,72.5
9.6,95.0,53,64.0,72.5
1.0,56.0,44,70.0,40.1
4.0,55.0,66,44.0,44.6
7.8,80.0,52,87.0,65.2
7.4,78.0,36,58.0,50.4
6.2,61.0,99,50.0,64.1
8.8,85.0,68,98.0,76.2
9.3,67.0,46,73.0,61.7
4.3,53.0,63,65.0,48.3
8.5,94.0,94,70.0,80.2
2.1,73.0,89,52.0,54.1
7.9,71.0,38,55.0,52.6
6.2,98.0,74,52.0,67.7
3.1,86.0,40,76.0,52.1
1.4,69.0,36,62.0,38.9
3.5,75.0,80,48.0,59.1
7.5,56.0,99,91.0,79.4
5.0,52.0,72,50.0,51.1
1.4,95.0,64,96.0,52.1
7.3,82.0,78,68.0,73.5
8.6,77.0,40,97.0,65.7
10.0,88.0,44,49.0,65.8
0.6,99.0,74,75.0,58.1
5.2,79.0,75,50.0,65.4
4.0,55.0,44,51.0,44.7
9.8,98.0,91,81.0,90.9
5.1,73.0,71,65.0,59.2
4.7,82.0,75,63.0,57.6
8.8,93.0,40,79.0,69.6
7.1,85.0,36,49.0,57.2
4.3,54.0,63,64.0,55.2
5.0,84.0,94,46.0,63.4
9.3,99.0,90,52.0,80.6
6.2,63.0,95,47.0,65.4
5.0,90.0,62,60.0,59.8
1.1,73.0,90,70.0,53.3
7.7,77.0,69,56.0,67.6
4.3,69.0,92,95.0,67.3
2.2,53.0,46,97.0,47.5
2.1,72.0,88,70.0,57.8
7.1,72.0,84,92.0,68.4
1.2,92.0,53,60.0,47.3
8.3,96.0,75,40.0,68.1
8.7,57.0,87,,72.0
8.4,58.0,92,80.0,80.5
9.8,76.0,56,78.0,68.9
9.7,86.0,36,63.0,65.9
5.3,57.0,98,81.0,74.1
8.4,77.0,77,47.0,74.2
5.8,60.0,90,64.0,64.1
6.5,94.0,47,45.0,60.0
6.4,76.0,48,71.0,59.4
6.5,82.0,39,82.0,54.3
4.8,74.0,49,52.0,53.7
8.0,79.0,87,98.0,82.0
0.6,73.0,63,72.0,43.3
8.5,100.0,88,83.0,80.0
0.6,59.0,82,93.0,55.3
3.7,86.0,90,55.0,64.5
4.2,53.0,89,48.0,62.6
4.3,70.0,55,67.0,49.2
1.6,86.0,85,93.0,63.5
2.0,70.0,61,45.0,40.9
6.1,51.0,45,76.0,50.0
4.8,90.0,80,51.0,61.2
5.6,65.0,83,89.0,64.7
1.9,51.0,48,47.0,36.5
3.2,61.0,46,44.0,41.3
4.2,81.0,37,66.0,42.9
7.0,74.0,75,80.0,72.9
0.6,61.0,39,47.0,36.7
6.3,84.0,35,50.0,51.2
6.3,84.0,37,73.0,54.6
1.6,63.0,38,60.0,32.7
1.7,67.0,96,52.0,61.2
3.3,97.0,98,67.0,69.2
2.1,93.0,70,65.0,50.9
2.1,63.0,97,67.0,63.0
8.3,89.0,48,78.0,64.3
9.0,54.0,92,50.0,77.0
4.4,88.0,80,65.0,59.3
8.0,72.0,66,44.0,60.9
3.5,50.0,75,84.0,50.2
8.1,64.0,43,64.0,54.8
5.8,95.0,44,76.0,61.8
3.5,70.0,60,52.0,45.1
3.1,57.0,50,68.0,41.3
6.0,,37,81.0,54.5
4.9,58.0,86,42.0,63.3
6.6,54.0,95,46.0,70.3
3.5,72.0,86,45.0,58.8
4.2,94.0,93,71.0,73.2
4.1,89.0,48,41.0,46.5
9.9,94.0,90,54.0,79.3
4.0,84.0,35,99.0,52.3
0.9,53.0,73,44.0,40.5
4.1,94.0,56,99.0,56.3
8.7,98.0,87,80.0,81.5
6.0,92.0,97,57.0,72.4
